Task,Activity,Start,End
Task 4.1 Inter-territorial interfaces for Innovation,A.4.1.1 Chart the cartography of the smart specialization strategies and ecosystems,01/11/23,31/10/24
Task 4.1 Inter-territorial interfaces for Innovation,A.4.1.2 Enlarge and reinforce the UNITA entrepreneurship network created in the InnoUNITA project,01/10/24,31/10/27
Task 4.1 Inter-territorial interfaces for Innovation,A.4.1.3 Build an industry-driven and challenge-based teaching and learning network,01/10/24,31/10/27
Task 4.1 Inter-territorial interfaces for Innovation,A.4.1.4 Create a tech transfer offices network,01/10/24,31/10/27
Task 4.1 Inter-territorial interfaces for Innovation,A.4.1.5 Enlarge and reinforce the UNITA science dissemination community,01/10/24,31/10/27
Task 4.2 Thematic Research Hubs,A.4.2.1 Evolve and update the researchers cartography,01/11/23,30/06/24
Task 4.2 Thematic Research Hubs,"A.4.2.2 Design, implement and deploy the new hubs and reinforce the existing ones",01/05/24,31/10/26
Task 4.2 Thematic Research Hubs,"A.4.2.3 Develop common principles, rules, and procedures informing UNITA Open Science research policy",01/11/24,31/10/27
Task 4.2 Thematic Research Hubs,A.4.2.4 Evolve this common basic organization into more institutionalized international research centres,01/11/26,31/10/27
Task 4.3 Sharing of infrastructures and Knowledge,A.4.3.1 Complete and update the mapping of partners infrastructures and related services developed by Re-UNITA,01/11/23,31/10/24
Task 4.3 Sharing of infrastructures and Knowledge,"A.4.3.2 Consolidate the model for sharing research infrastructures and services, based on a decentralized management and Open Data approaches",01/03/24,31/01/25
Task 4.3 Sharing of infrastructures and Knowledge,A.4.3.3 Launch regular calls to co-finance access to infrastructures,01/11/24,31/10/27
Task 4.3 Sharing of infrastructures and Knowledge,A.4.3.4 Assess the necessary system modifications,01/11/24,31/10/26
Task 4.3 Sharing of infrastructures and Knowledge,A.4.3.5 Enhance the system by adapting necessary changes and intensifying the sharing of services and infrastructures,01/11/26,31/10/27
Task 4.4 UNITA Graduate Schools in alliance focus areas,A.4.4.1 Collect and chart current master and doctoral training activities,01/11/23,31/07/24
Task 4.4 UNITA Graduate Schools in alliance focus areas,A.4.4.2 Define standards for the eligibility of learning programmes for the UGS,01/03/24,31/01/25
Task 4.4 UNITA Graduate Schools in alliance focus areas,A.4.4.3 Progressively implement the UGS in the UNITA focus areas,01/10/24,31/10/27
Task 5.1 External dissemination and public engagement,A.5.1.1 Chart current practices of communication and dissemination,01/11/23,28/02/24
Task 5.1 External dissemination and public engagement,A.5.1.2 Create a map of stakeholders,01/03/24,31/10/24
Task 5.1 External dissemination and public engagement,A.5.1.3 Update the UNITA Communication Plan,01/02/24,31/08/24
Task 5.1 External dissemination and public engagement,A.5.1.4 Implement and test the Communication Plan,01/02/24,31/10/27
Task 5.1 External dissemination and public engagement,A.5.1.5 Contribute to increasing the sense of belonging to UNITA of our university communities,01/10/24,31/10/27
Task 5.2 Financial sustainability,A.5.2.1 Update the UNITA Sustainability Plan,01/11/23,30/04/24
Task 5.2 Financial sustainability,A.5.2.2 Define the economic model and common financial methodology,01/11/23,31/08/24
Task 5.2 Financial sustainability,A.5.2.3 Set up and run the UNITA Project Engine Office,01/09/24,31/10/27
Task 5.2 Financial sustainability,A.5.2.4 Implement the UNITA Sustainability Plan and refine the common financial methodology,01/11/24,30/04/26
Task 5.3 Green sustainability,A.5.3.1 Create the general framework of the green sustainability approach for UNITA actions,01/11/23,30/04/24
Task 5.3 Green sustainability,A.5.3.2 Design the UNITA Green Sustainability Action Plan,01/05/24,31/10/24
Task 5.3 Green sustainability,A.5.3.3 Introduce sustainability topics into the stu-dents’ curricula,01/10/24,31/10/27
Task 5.3 Green sustainability,A.5.3.4 Promote green mobility,01/10/24,31/10/27
Task 5.3 Green sustainability,A.5.3.5 Create a culture of sustainability,01/10/24,31/10/27
Task 5.4 Impact Observatory,A.5.4.1 Identify the methods for impact measurement,01/11/23,30/04/24
Task 5.4 Impact Observatory,"A.5.4.2 Design methodology, data collection and interfaces dashboard principles",01/04/24,31/10/24
Task 5.4 Impact Observatory,A.5.4.3 Implement and test first series of impact measurement,01/10/24,31/10/25
Task 5.4 Impact Observatory,A.5.4.4 Collect and assest feedback from target group and stakeholders,01/04/25,30/04/26
Task 5.4 Impact Observatory,A.5.4.5 Intensify and widen the impact measurement methodology to all strategies,01/10/25,31/10/27
Task 5.5 Expanding UNITA in Europe and beyond,A.5.5.1 Introduce the new partners to the UNITA international network,01/11/23,31/10/24
Task 5.5 Expanding UNITA in Europe and beyond,A.5.5.2 Enhance the GEMINAE network,01/11/24,31/10/27
Task 5.5 Expanding UNITA in Europe and beyond,A.5.5.3 Participate and organize inter-alliance events,01/11/24,31/10/27
Task 5.5 Expanding UNITA in Europe and beyond,A.5.5.4 Collect and assess feedback from target groups and end-users,01/11/25,31/10/27
